"company","product_type","product_name","product_description","insurance_type","discovered_place"
"Etiqa","H&P","Femina Special Takaful","A comprehensive protection plan created with women in mind

Get cash back when you make no claims

Female cancers coverage

Death due to maternity complications

Facial reconstructive surgery or dental treatment due to accidents

Skin grafting due to accident and/or burns

","General Takaful","Insurer"
"Etiqa","H&P","Flexi PA Insurance","Comprehensive on-the-road protection against car accidents as low as RM0.20 sen per day

No medical examination required

Hospital confinement allowance

Death and total permanent disability benefit

24/7 Worldwide coverage

","General Insurance","Insurer"
"Etiqa","Investment","FlexiPro Insurance","Maximise your returns & stay protected with flexible options

Access To A Variety Of Funds

Guaranteed Approval

Maximise Your Investment

Flexibility

Death and TPD Coverage

","Life Insurance","Insurer"
"Etiqa","Investment","Hadiyyah Takafulink","The plan that rewards with incremental cash payout that help boost the growth of your savings.

Guaranteed approval for coverage up to RM200,000

Benefits for Aqiqah, Khatam & Qurban

Maturity payout benefit

Death & TPD benefit

Get cashback when you make no claims

","Family Takaful","Insurer"
"Etiqa","Savings","Harmoni Takaful","A protection plan with a flexible savings plan from just RM70 a month

Get cashback when you make no claims

Partial withdrawal features

Boost your protection with nine protection riders

Death and total permanent disability benefits

Maturity benefit

","Family Takaful","Insurer"
"Etiqa","H&P","Hero15","A comprehensive PA plan created especially for men against male cancers and illnesses & losses resulting from accidents.","General Insurance","Bank"
"Etiqa","Home","Houseowner and Householder Insurance","Insure the building of your home and its contents, so that you don’t have to pay for damage and losses.

15% rebate when you buy online

Coverage against damages caused by fire, lightning, and domestic explosions

Coverage against damage caused by floods and landslides

Coverage for landlords

","General Insurance","Insurer"
"Etiqa","Home","Houseowner and Householder Takaful","Protect the building of your home and its contents (with a Shariah-compliant plan), so that you don’t have to pay for damage and losses.

15% rebate when you apply online

Coverage against damages caused by fire, lightning, and domestic explosions

Coverage against damage caused by floods and landslides

Coverage for landlords

Cash back when you make no claims

","General Takaful","Insurer"
"Etiqa","Home","Houseowner/Householder","Comprehensive coverage for the structure of your home and its contents.","General Insurance","Bank"
"Etiqa","Home","Houseowner/Householder Takaful","A shariah-compliant comprehensive coverage for the structure of your home and its contents.","General Takaful","Bank"
"Etiqa","H&P/Medical/CI","IL CI Plus Insurance","A comprehensive plan that covers 68 illnesses and diseases.

Mental Illness

Cancer

Stroke

Heart Disease

","Life Insurance","Insurer"
"Etiqa","H&P/Medical/CI","IL Cancer Shield Insurance","Comprehensive cover for Early and Advanced Stages Cancer.

Early Cancer Benefit

100% Bounce-Back

200% Cash Payout

","Life Insurance","Insurer"
"Etiqa","H&P/Medical/CI","IL Female Essential Insurance","A comprehensive critical illness coverage just for ladies.

Female Related Illness Coverage

Female Related Cancer Benefit

100% Bounce-Back

Maternity Benefit

","Life Insurance","Insurer"
"Etiqa","H&P/Medical/CI","IL Medical Plus Insurance","A medical benefit add-on (to selected investment-linked plans), to supplement your employment medical coverage.

High annual coverage limit

Choice of premium with Deductible option

No lifetime limit

","Life Insurance","Insurer"
"Etiqa","H&P","Infinite Personal Accident","Comprehensive Shariah-Compliant Sports, Lifestyle & COVID-19 Coverage #ForYou","General Insurance","Bank"
"Etiqa","Savings","Karisma Takaful","Takaful-compliant coverage and savings plan with flexible coverage and cash payout every 2 years

Get cashback when you make no claims

Savings for the future

Boost your protection with eight protection riders

Death and total permanent disability benefits

Maturity benefit

","Family Takaful","Insurer"
"Etiqa","TBD","Key Person Insurance","Secure your business with Key Person Insurance","General Insurance","Bank"
"Etiqa","TBD","Long Term Fire Insurance (LTFI)","A basic insurance coverage for your home building

Cover for fire, lightning and explosion

Optional add-on coverage for your home

","Conventional","Insurer"
"Etiqa","TBD","Long Term Fire Takaful (LTFT)","A basic fire takaful coverage for your home building

Cover for fire, lightning and explosion

Optional add-on coverage for your home

","Takaful","Insurer"
"Etiqa","Savings/Investment","Madani","The education plan that helps to protect and ease the burden of education costs.

Education Cash Payouts

Education Celebration Payout

Maturity Payout(s)

Multiple Contribution Payment Term Options

Multiple Maturity Age Options

Death and TPD Coverage

","Life Insurance","Insurer"
"Etiqa","Investment","Mahabbah Takafulink","The takaful investment plan that helps you ensure the dreams for your loved ones can be achieved even when you are no longer around.

Get cashback when you make no claims

No medical examination

Disability care payout

Flexible payment tenures

","Family Takaful","Insurer"
"Etiqa","Life","Mawaddah II Takaful","An affordable protection plan to prepare your hibah.

Instant Approval

Affordable Contribution

Compassionate Benefit

Coverage for accidents

","Family Takaful","Insurer"
"Etiqa","Investment","MaxiPro Insurance","A plan that yields more savings.

Guaranteed approval

Guaranteed annual cash payout

Maturity payout benefit

Guaranteed insurance charge rates

Flexible premium payment and policy terms

","Life Insurance","Insurer"
"Etiqa","Savings","MaxiW3alth","It’s never too early to start thinking about how you want to share your wealth with your loved ones and safeguard their future.

Guaranteed Approval

Guaranteed Annual Cash Payouts

Retirement Celebration Benefit

Maturity Payout

Flexible Premium Payment Terms & Maturity Age

Death and TPD Coverage

","Life Insurance","Insurer"
"Etiqa","Home","Maxihome Contents","Protect your valuables from theft, floods and damage","General Insurance","Bank"
"Etiqa","H&P/Medical/CI","Medical Plus Insurance","A hospital and surgical insurance plan that provides comprehensive medical coverage, unlimited lifetime cover and a high annual limit.

Hospital admission without payment

Inpatient and outpatient benefits

High lifetime coverage limit

","Life Insurance","Insurer"
"Etiqa","H&P/Medical/CI","Medical Plus Takaful","A hospital and surgical insurance plan that provides comprehensive medical coverage, unlimited lifetime cover and a high annual limit.

Get cash back when you make no claims

Hospital admission without payment

Inpatient and outpatient benefits

High lifetime coverage limit

","Family Takaful","Insurer"
"Etiqa","H&P","Mega PA Insurance","Four personal accident plans that provide a range of benefits in case of accidents and crime.

Coverage for children and adults

Death and permanent disability benefit

Cash allowance for hospital expenses

","General Insurance","Insurer"
"Etiqa","H&P","Mega PA Takaful","Four personal accident plans that provide a range of benefits in case of accidents and crime.

Get cash back when you make no claims

Coverage for children and adults

Death and permanent disability benefit

Cash allowance for hospital expenses

","General Takaful","Insurer"
"Etiqa","Investment","MegaPlus Insurance","The investment-linked plan that secures the lifestyle of your family.

Wealth distribution directly to your nominated loved one(s)

Long-term coverage

Loyalty bonus units

No medical examination

It’s easy to manage your legacy plans with flexible payment tenures of 5, 10, 15, or 20 years, or payment tenures to match the policy term.

","Life Insurance","Insurer"
"Etiqa","Home","Mortgage Reducing Term Assurance","A single premium reducing term insurance plan","General Insurance","Bank"
"Etiqa","TBD","Mortgage Reducing Term Assurance (MRTA)","An insurance coverage that helps to take care of your outstanding housing loan amount in case of any unfortunate event happen to you

Death Benefit

Total and Permanent Disability Benefit (TPD)

","Conventional","Insurer"
"Etiqa","Home","Mortgage Reducing Term Takaful","A single contribution reducing term Takaful plan","General Takaful","Bank"
"Etiqa","TBD","Mortgage Reducing Term Takaful (MRTT)","A takaful coverage that helps to take care of your outstanding home financing amount in case of any unfortunate event happen to you

Death Benefit

Total and Permanent Disability Benefit (TPD)

","Takaful","Insurer"
"Etiqa","Motor","Motor Insurance","Get covered for loss, theft or damage to your car, and more, with optional add-ons for total peace of mind.

Enjoy up to 30% cash rebates with the Drive Less Save More add-on

10% rebate on top of your NCD when you renew online

Get reimbursed with a value you agree with

All authorised drivers automatically covered

24/7 emergency hotline

#1 Motor Insurance as awarded by iBanding

","General Insurance","Insurer"
"Etiqa","Motor","Motor Takaful","Get covered (with Shariah-compliant plan) for loss, theft or damage to your car, and more, with optional add-ons for total peace of mind.

Enjoy up to 30% cash rebates with the Drive Less Save More add-on

10% rebate on top of your NCD when you renew online

Get reimbursed with a value you agree with

All authorised drivers automatically covered

24/7 emergency hotline

Cash back when you make no claims

","General Takaful","Insurer"
"Etiqa","Motor","Motorcycle Insurance","New Get comprehensive coverage for loss, theft or damage to your motorcycle, and more.

10% rebate on top of your NCD when you renew online

Coverage for accidents, fire & theft

3rd party coverage

","General Insurance","Insurer"
"Etiqa","Motor","Motorcycle Takaful","New Get comprehensive Shariah compliant coverage for loss, theft or damage to your motorcycle, and more.

10% rebate on top of your NCD when you renew online

Coverage for accidents, fire & theft

3rd party coverage

","General Takaful","Insurer"
"Etiqa","Home","MyRumah Insurance","Protect your home, its contents and more.

Get 15% off when you purchase online.

Coverage against damages caused by fire, lightning, and domestic explosion.

Coverage against damages caused by flood, storm and more

","General Insurance","Insurer"
"Etiqa","Home","MyRumah Takaful","Protect your home, its contents and more.

15% rebate when you sign-up online

Coverage against damages caused by fire, lightning, and domestic explosion

Coverage against damages caused by flood, storm and more

","General Takaful","Insurer"
"Etiqa","H&P","OTO 360 Insurance","A standalone personal accident plan designed for all private car vehicle drivers regardless of the motor coverage provider.

10% instant rebate when you apply online

24-hour breakdown assistance

Unlimited FREE towing service

Covers death or permanent disability of up to RM50,000

","General Insurance","Insurer"
"Etiqa","H&P","OTO 360 Takaful","A standalone personal accident plan designed for all private car vehicle drivers regardless of the motor coverage provider.

10% instant rebate when you apply online

24-hour breakdown assistance

Unlimited FREE towing service

Covers death or permanent disability of up to RM50,000

","General Takaful","Insurer"
"Etiqa","H&P/Medical/CI","OneMedical","New A medical plan that provides hospital and surgical benefits, and cashless admission.

5% discount for a family package

Cashless hospital admission

Affordable premium

No medical check-up required

","Life Insurance","Insurer"
"Etiqa","H&P/Medical/CI","OneMedical Takaful","New A medical plan that provides hospital and surgical benefits, and cashless admission.

5% discount for a family package

Cashless hospital admission

Affordable contribution

No medical check-up required

","Family Takaful","Insurer"
"Etiqa","Misc.","PAWer Insurance","


Cashless admission to panel veterinary clinics & pet wellness centres

Veterinary and surgical coverage

Burial or cremation coverage

Third party liability coverage

","General Insurance","Insurer"
"Etiqa","H&P","PesonaLady","A complete plan created just for women","General Insurance","Bank"
"Etiqa","H&P","Premier Cash Refund","Enjoy savings and coverage at affordable premiums.","General Insurance","Bank"
"Etiqa","Savings/Investment","Premier Education Savers","An investment-linked lifetime plan with a mix of coverage and strategic investments for your child's education.","Life Insurance","Bank"
"Etiqa","H&P","Premier Lady Savers","Investment-linked protection created especially for women","General Insurance","Bank"
"Etiqa","H&P","Premier PA Plus","Comprehensive personal accident coverage for your family at super affordable premiums","General Insurance","Bank"
"Etiqa","Savings/Investment","PremierValue Savers","The plan that maximises your investment allocation while providing coverage","Life Insurance","Bank"
"Etiqa","Life","Prisma Takaful","The plan that provides coverage for your family from just RM50/month

Choose from 6 riders to customise your coverage

Eligibility entry age from 19 to 60 years

Get cash back when you make no claims

","Family Takaful","Insurer"
"Etiqa","H&P","Privilege PA","Higher personal accident coverage for you and your family","General Insurance","Bank"
"Etiqa","H&P","RAHMAH PA Insurance","New Essential Insurance coverage at RAHMAH premium

Lump sum cash payout of up to RM80,000 for accidental death or permanent disability

Affordable premium from as low as RM3/month

Flexibility coverage

Funeral allowance benefit

","General Insurance","Insurer"
"Etiqa","H&P","RAHMAH PA Takaful","New Essential Takaful coverage at RAHMAH contribution

Lump sum cash payout of up to RM80,000 for accidental death or permanent disability

Affordable contribution from as low as RM3/month

Flexibility coverage

Funeral allowance benefit

","General Takaful","Insurer"
"Etiqa","H&P","RiderCare PA Insurance","Personal accident plan that will help ease your financial burden.

From only 6 sen a day

RM500 cash allowance

Accidental death and disability benefit

","General Insurance","Insurer"
"Etiqa","H&P","RiderCare PA Takaful","Personal accident shariah-compliant plan that will help ease your financial burden.

From only 6 sen a day

RM500 cash allowance

Accidental death and disability benefit

","General Takaful","Insurer"
"Etiqa","Savings/Investment","SMART INCOME","A Shariah-compliant retirement, protection & savings takaful plan","Family Takaful","Bank"
"Etiqa","Investment","SecureLink Insurance","A flexible protection plan with an investment-linked feature.

Comprehensive add-ons

Continuous cover after TPD

Loyalty bonus every 3 years

Death & TPD benefit

","Life Insurance","Insurer"
"Etiqa","H&P","Senior PA","A personal accident plan created just for seniors with premiums from RM0.65 a day","General Insurance","Bank"
"Etiqa","Savings/Investment","Smart Cash Xtra","Provide financial security to you and your family.","Life Insurance","Bank"
"Etiqa","Medical","Smart Family Medic Plan","Smart Family Medic Plan is a medical plan for you and your family members, with no lifetime limit.","Insurance","Bank"
"Etiqa","Savings/Investment","Smart Flexi Plus","A plan with flexible payment and policy terms","Life Insurance","Bank"
"Etiqa","Savings/Investment","Smart Hijrah","For the greatest journey in your life","Life Insurance","Bank"
"Etiqa","H&P","Smart Life Vantage","A plan that benefit regardless of your health.","General Insurance","Bank"
"Etiqa","Savings","Smart Saver Xtra","Guaranteed cash payouts for you","Life Insurance","Bank"
"Etiqa","Savings/Investment","Smart Secure","Protect what you have built","Life Insurance","Bank"
"Etiqa","Savings/Investment","Smart Waris","","Life Insurance","Bank"
"Etiqa","Savings/Investment","Smart Wealth","A plan with flexible payment and policy terms","Life Insurance","Bank"
"Etiqa","Motor","Takaful Auto Credit Plan","A Shariah-compliant plan for new and existing Maybank Islamic car financing customers","General Takaful","Bank"
"Etiqa","H&P","Takaful Buddy PA","Accident coverage for sport enthusiasts, victims of crime, women and family

Get cash back when you make no claims

25% off when you apply online

Hospital Cash Allowance

Death and permanent disability benefit

Reimbursement for medical expenses

","General Takaful","Insurer"
"Etiqa","H&P","Takaful Cash Care PA","An accident plan that adds value to your car insurance coverage

Death and permanent disability benefits for driver and passengers

Get cash back when you make no claims

24-hour breakdown assistance

Unlimited free towing service

RM500 cash allowance

","General Takaful","Insurer"
"Etiqa","H&P","Takaful Flexi PA","Comprehensive on-the-road protection against car accidents as low as RM0.20 sen per day

Get cash back when you make no claims

No medical examination required

Hospital confinement allowance

Death and total permanent disability benefit

24/7 Worldwide coverage

","General Takaful","Insurer"
"Etiqa","H&P","Takaful Hero 15","Shariah-compliant protection for everyday heroes with contributions from RM0.93 a day","General Takaful","Bank"
"Etiqa","H&P","Takaful Infinite PA","Comprehensive Shariah-Compliant Sports, Lifestyle & COVID-19 Coverage #ForYou","General Takaful","Bank"
"Etiqa","H&P","Takaful PA Plus","Shariah-compliant personal accident coverage at super affordable rates","General Takaful","Bank"
"Etiqa","H&P","Takaful PesonaLady","A complete Shariah-compliant plan created just for women with contributions from RM22.50 a month","General Takaful","Bank"
"Etiqa","H&P","Takaful Private Car Driver & Passenger","Accident coverage for drivers and passengers

Get cash back when you make no claims

Covers passengers from 5 to 70 years old

Death and permanent disability benefit

Reimbursement for medical expenses

","General Takaful","Insurer"
"Etiqa","H&P","Takaful Privilege PA","A higher Shariah-compliant personal accident coverage for you and your family","General Takaful","Bank"
"Etiqa","Savings/Investment","Takaful Smart Plus","A Shariah-compliant investment-linked Family Takaful plan","Family Takaful","Bank"
"Etiqa","H&P/Medical/CI","Takafulink Medical Plus","Comprehensive Medical Care for better and brighter days ahead.

High Coverage Limit

Deductible Cover

Etiqa Smile App

","Family Takaful","Insurer"
"Etiqa","Motor","Tesla Ensure Insurance & Takaful","Exclusive plan for Tesla Owners 
10% discount for Tesla Ensure Insurance/ Takaful for Tesla cars registered by 30th June 2024
COMPLIMENTARY BENEFITS

1st in Malaysia Complimentary EV Home Charger Coverage with sum insured/covered of up to RM12,000

Complimentary extended benefits for Tesla cars with Tesla Ensure

Up to 30% cash rebates with Drive Less Save More add-on

Free 24/7 Emergency Towing of up to 200km

Agreed Value up to 15 years

Nil Excess

ADD-ON BENEFITS WITH EXTRA PREMIUM/CONTRIBUTION

1st in Malaysia Portable Charging Cable Coverage of up to RM2,000

Key Care Cover Reimbursement of up to RM3,000

24/7 Unlimited Towing Mileage with RM15 top up

","General Takaful","Insurer"
"Etiqa","Travel","Travel Ezy Insurance","Get compensated for domestic flight delays

Get paid RM60 when your flight is delayed by 30 minutes or more

","General Insurance","Insurer"
"Etiqa","H&P, Travel","TripCare 360","Comprehensive travel protection plan for you & your family with 25% OFF when you sign up online","General Insurance","Bank"
"Etiqa","Travel","TripCare 360 Insurance","Get coverage for travel delays, loss of baggage, medical emergencies and other travel inconveniences.

25% rebate when you apply online

Cashless medical care

Coverage for loss of valuables and travel delays

Add-on options for adventurous activities

New COVID-19 coverage for your overseas travels

","General Insurance","Insurer"
"Etiqa","Travel, H&P","TripCare 360 Takaful","Get coverage (with Shariah-compliant plan) for travel delays, loss of baggage, medical emergencies and other travel inconveniences.

25% rebate when you apply online

Cashless medical care

Coverage for loss of valuables and travel delays

Add-on options for adventurous activities

Cash back when you make no claims for the annual plan

New COVID-19 coverage for your overseas travels

","General Takaful","Insurer, Bank"
"Etiqa","Savings","Triple Growth Insurance","A short term commitment plan help your savings work harder to maximise your yearly returns

Short Premium Payment Term

Guaranteed Interim Cash Payment (ICP)

Death and total permanent disability benefits

Maturity benefit

","Life Insurance","Insurer"
"Etiqa","H&P/Medical/CI","e-CancerCare Insurance","New A plan that provides coverage for early stage and major cancer treatments.

Cash payout for early stage cancers, including carcinoma in situ

150% cash payout upon diagnosis of advanced cancer

Coverage from 21 cent a day

No medical check-up required

","Life Insurance","Insurer"
"Etiqa","H&P/Medical/CI","e-CancerCare Takaful","A shariah-compliant plan that provides coverage for early stage and major cancer treatments.

Cash payout for early stage cancers, including carcinoma in situ

150% cash payout upon diagnosis of advanced cancer

Coverage from 21 cent a day

No medical check-up required

","Family Takaful","Insurer"
"Etiqa","Life","i-Care OKU","New A takaful plan designed for disabled persons (OKU)

Guaranteed approval

Affordable contribution

Provides cover for individuals with more than 1 disability

Get payout upon diagnosis and hospitalisation due to Dengue, COVID-19 and more

","Life Insurance","Insurer"
"Etiqa","Life","i-DoubleSecure Takaful","The plan that provides double the benefits if death or Total Permanent Disability is caused by an accident

Eligibility from 17 to 55 years old

Death & Total Permanent Disability benefit

Choose from three coverage sums

","Family Takaful","Insurer"
"Etiqa","Life","i-Secure Takaful","The plan that gives a lump sum payment to the beneficiary in the event of death during the period of cover

No medical examinaton

Flexible plans to suit your need

Coverage from 21 to 75 years old

Death & TPD benefit

","Family Takaful","Insurer"
"Etiqa","Travel","i-Travel Ezy Takaful","Get compensated (with Shariah-compliant plan) for domestic flight delays.

Get paid RM60 when your flight is delayed by 30 minutes or more

","General Takaful","Insurer"
"FWD","TBD","BSN Home Assure","Term Reducing Assurance Protection Plan that covers your home loans.","Life Insurance","Insurer"
"FWD","TBD","BSN RTA","Term Reducing Assurance Protection Plan that covers your personal loans.","Life Insurance","Insurer"
"FWD","Savings/Investment","Cash Booster","Boost your cash savings with guaranteed payout at maturity with Cash Booster today.","Life Insurance","Insurer"
"FWD","Life","FWD ADD Rider","A solo-employment starter pack that provides support on your medical expenses and financial as well as mental health support when you’re accidentallyinjured, at a contribution rate you can afford","Family Takaful","Insurer"
"FWD","Life","FWD Accidental Death Benefit Rider","Accidental Death Benefit Rider helps to enhance your takaful plan to increase your coverage against transportation accidents.","Family Takaful","Insurer"
"FWD","Critical Illness","FWD Big 3 Critical Illness Protection Plan","We’ll cover you for up to RM250,000 for cancer, heart attack or stroke - from RM10.27/month.","Family Takaful","Insurer"
"FWD","Medical, Critical Illness","FWD CI First","A plan that reduces complexities and constraints for critical illnesses when you need it most—now and in the future.","Family Takaful","Insurer"
"FWD","Critical Illness","FWD CI Intense Shield","A rider which provides coverage for early and advanced stages of critical illness.","Life Insurance","Insurer"
"FWD","Medical","FWD Care Direct","We’ll cover up to RM250,000 for cancer (including early stage cancer) from RM10.83/month.","Family Takaful","Insurer"
"FWD","Medical, Critical Illness","FWD Critical Illness Lite Rider","We recognise the importance of good health and will go to great lengths to look after your wellbeing.","Family Takaful","Insurer"
"FWD","Medical, Critical Illness","FWD Critical Illness Rider","A takaful add-on that provides benefits in full diagnosis of a critical illness to help you tackle it immediately.","Family Takaful","Insurer"
"FWD","Medical, Critical Illness","FWD Critical Illness Waiver of Contribution Rider","Be free from making future takaful payments with this add-on so you can focus on getting treatment for your critical illness.","Family Takaful","Insurer"
"FWD","Life","FWD Family First","Family means no one gets left behind — a takaful plan to shield your family against critical illnesses even as life changes.","Family Takaful","Insurer"
"FWD","Life","FWD Future First","A takaful plan that provides more than just financial help, but also emotional and practical support to heal after loss of life.","Family Takaful","Insurer"
"FWD","Critical Illness","FWD Hajj Rider","Get additional protection during Hajj or umrah with this add-on so you can perform your obligations in peace.","Family Takaful","Insurer"
"FWD","Critical Illness","FWD IL CI (Accelerated)","Get covered against 45 critical illnesses ensuring peace of mind for you and your loved ones.","Life Insurance","Insurer"
"FWD","Medical","FWD IL Hospitalisation Income Benefit","Relieve financial worries with daily hospital income during your hospital stay, allowing you to concentrate on your recovery.","Life Insurance","Insurer"
"FWD","Critical Illness","FWD IL Living Extra (WOP)","With FWD IL Living Extra (WOP), you can focus on recovering as we waive your premium payment upon diagnosis of any of the 44 critical illnesses. Find out more.","Life Insurance","Insurer"
"FWD","Life","FWD IL PA","Get more from your investment-linked plan with personal accident coverage.","Life Insurance","Insurer"
"FWD","Life","FWD IL WOP","Provides waiver of premium on diagnosis of any of the 44 critical illnesses","Life Insurance","Insurer"
"FWD","Critical Illness","FWD Income First","A takaful savings plan that balances the wants of today and the plans of tomorrow with annual cash payments.","Family Takaful","Insurer"
"FWD","Savings/Investment","FWD Invest First Plus – Legacy Plan","A one-step solution for your legacy planning. Invest and expand your wealth to leave behind a secured future for your family.","Family Takaful","Insurer"
"FWD","Savings/Investment","FWD Invest First Plus – Wealth Management Plan","A customisable investment-linked takaful plan that combines protection and investment to secure your retirement.","Family Takaful","Insurer"
"FWD","Savings/Investment","FWD Invest First – Education Plan","FWD Invest First’s education plan grows your savings and protects your wealth, so you can invest more in your kid's education without debt burdens.","Family Takaful","Insurer"
"FWD","Medical","FWD Itqan Medik Rider","Provides additional coverage in the event of hospitalisation, surgery and outpatient treatment.","Family Takaful","Insurer"
"FWD","Life","FWD Kasih","A micro-takaful protection plan made possible with affordable contributions. Renewable yearly.","Family Takaful","Insurer"
"FWD","Life","FWD Life First","We designed FWD Life First for people like you. A protection plan designed to look into the needs of your whole family – from your parents to your children – should you not be able to carry out your responsibilities.","Family Takaful","Insurer"
"FWD","Critical Illness","FWD Living Extra (Premium Waiver)","Provides waiver on diagnosis of any of the 44 critical illness","Life Insurance","Insurer"
"FWD","Savings/Investment","FWD Maqbul Link","An investment-linked plan that protects you and your family as well as savings for your future needs.","Family Takaful","Insurer"
"FWD","Savings/Investment","FWD Max Wealth","Maximise your wealth with up to 154% Maturity Payout when you sign up for FWD Max Wealth","Life Insurance","Insurer"
"FWD","Medical","FWD Medi First","A comprehensive medical plan that ensures your healthcare needs with no Lifetime Limit.","Life Insurance","Insurer"
"FWD","Medical","FWD Medical Care+","Comprehensive takaful medical card covering takaful benefits, including hospitalisation, inpatient and outpatient treatment. Get up to 45% savings when you choose a deductible option.","Family Takaful","Insurer"
"FWD","Medical","FWD Medical Plus Rider","Getting quality treatment here can be time consuming. With this takaful add-on, we can fast-track your medical care with ease","Family Takaful","Insurer"
"FWD","Medical","FWD Medical Rider","Getting quality treatment here can be time consuming. With this takaful add-on, we can fast-track your medical care with ease.","Family Takaful","Insurer"
"FWD","Medical","FWD Medsecure Direct","A regular step-up contribution takaful plan for a daily hospital income during hospitalisation.","Family Takaful","Insurer"
"FWD","Life","FWD Payor Enhanced (Premium Waiver)","Provides waiver of premium upon death, TPD or on diagnosis of any of the 44 critical illness","Life Insurance","Insurer"
"FWD","Life","FWD Payor Lite Rider","With this add-on, keep all wealth plans for your family going even after you pass on or have a total and permanent disability.","Family Takaful","Insurer"
"FWD","Life","FWD Payor Rider","Keep all wealth plans for your family going even after you have a critical illness, die, or have a permanent disability.","Family Takaful","Insurer"
"FWD","Life","FWD Protect Direct","A protection takaful that covers death for you and your family without the involvement of intermediaries.","Family Takaful","Insurer"
"FWD","Life","FWD SpecialCare Direct","A plan for children and parents that covers autism, Tourette’s and ADHD. We’ll pay up to RM100,000 from RM28.95/month.","Family Takaful","Insurer"
"FWD","Medical","FWD SpecialMed 2","Online medical plan tailored for people with learning, visual, and hearing disabilities.","Family Takaful","Insurer"
"FWD","Life, Savings/Investment","FWD WealthLink","Build a safety net with increasing coverage for you & your loved ones.","Life Insurance","Insurer"
"FWD","Life, Savings/Investment","FWD WealthLink Pro","Boost your protection and build wealth with FWD WealthLink Pro","Life Insurance","Insurer"
"FWD","Life, Critical Illness","FWD i-Lindung Term Takaful & Critical Illness Plan","Auto-renewable plans exclusive for EPF members. Cover yourself or along with family.","Family Takaful","Insurer"
"FWD","Life","GoSecure & GoSecure+","Secure the legacy of your life & business & have the flexibility to choose policy & payment terms","Life Insurance","Insurer"
"FWD","Life","PA Cover+","An essential accident protection & life insurance plan which offers benefits such as No Claim Bonus.","Life Insurance","Insurer"
"FWD","TBD","Qaseh","4 simple plans to meet your needs, ranging from insurance coverage to savings, and other great benefits.","Life Insurance","Insurer"
"FWD","TBD","Qaseh Bakti Plus","A health insurance plan that eases your financial burden for worry-free recovery.","Life Insurance","Insurer"
"FWD","TBD","QasehLink Pintar","Helps you accumulate wealth while providing valuable insurance protection.","Life Insurance","Insurer"
"FWD","Life","i-Care","From only RM10.50 a month, i-Care offers you affordable life insurance for you & your family","Life Insurance","Insurer"
"FWD","Life","i-FlexCover","Adjust your life insurance coverage in Malaysia anytime, at no extra charge.","Life Insurance","Insurer"
"FWD","Medical","i-Med","From only RM44.70 month, i-Med offers you affordable medical insurance in Malaysia.","Life Insurance","Insurer"
"FWD","Critical Illness","i-Protect & i-Protect Plus","From only RM8.10/month, i-Protect & i-Protect Plus offers you affordable critical illness insurance in Malaysia.","Life Insurance","Insurer"
"Generali","H&P","110 CI Assure","Comprehensive Critical Illness Plan from Early Stages
Critical illnesses can strike at any time and often catch us off guard. With 110 CI Assure, you will have access to the funds you need to seek early treatment for better chance of recovery and to cope with unexpected changes in your lifestyle, both financially and emotionally.","TBD","Insurer"
"Generali","H&P","360 Cancer Assure","Comprehensive Cancer Plan That Protects From Prevention, Treatment to Recovery
Cancer treatment and recovery is a continuous journey. It can bring a great deal of financial and emotional distress. The good news is you need not face it alone. By being prepared financially, emotionally and mentally, you can continue to live a quality life even when the unexpected happens.","TBD","Insurer"
"Generali","H&P","CritiCover","Comprehensive critical illness plan that provides coverage for 194 conditions
Critical illness insurance is one of the insurance products that completes a person’s holistic insurance protection planning. Introducing CritiCover, a comprehensive critical illness plan for you that protects against almost all and any future illnesses¹. With this critical illness plan, your critical illness protection is complete!

‍

¹Only available for Supreme plan.","TBD","Insurer"
"Generali","Travel","Domestic Travel Insurance","Travel locally with peace of mind
Protect yourself and your family against accidents and unexpected events while travelling within Malaysia.","General Insurance","Insurer"
"Generali","Motor/Home","Home Protector Enhanced","The Home Protector Enhanced is an all-encompassing home insurance protection plan that is designed to protect your home and your contents within for peace of mind.

‍

Building and/or Content coverage according to your needs

Home Protector Enhanced allows you to select the type of protection that best suits your needs.

You may select houseowner insurance to cover the building, or home contents insurance to cover the contents, or if you prefer a comprehensive cover, you may take up both houseowner and home contents insurance.

For your home contents, you have the choice of Householder coverage, or All Risk coverage to protect your home contents and valuables.

‍

Complimentary Benefits

Home Protector Enhanced provides various additional complimentary benefits such as:

Replacement of External Window / Door locks up to RM500
Replacement of Burst Pipe (including hacking and plastering) up to RM1,500
Terrorism Cover (material damage only) up to RM500,000
And many more!

‍

Optional Extensions

Home Protector Enhanced offers various optional extensions for your property ie: Subsidence & Landslip, Plate Glass Damage, or Riot, strike and malicious damage.

 

Optional Riders

Add on Worldwide Personal All Risks and Worldwide Family Liability to cover your personal effects and your family against 3rd party liability.

‍

The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","General Insurance","Insurer"
