"Comparison between Results_05_2024_Week_4 and Results_05_2024_Week_5",""
"Date Produced:","29-May-2024"
"Number of New Products:","535"
"Number of Retired Products:","0"

New Products:
"company","product_type","product_name"
"Zurich","savings, future","Zurich Favour8"
"Zurich","savings, future","Super Wealth Plan"
"Zurich","savings, future","Teras Perdana"
"Zurich","protection, health","Zurich iCare Essential"
"Zurich","protection, health","Zurich iCare Medic"
"Zurich","protection, health","Z-MedProtect"
"Zurich","protection, health","MedicaGen 200"
"Zurich","protection, health","MediLove"
"Zurich","protection, health","Zurich Infinite Care"
"Zurich","protection, health","MaxMedic"
"Zurich","protection, health","Critical Care"
"Zurich","protection, health","Critical Care Essential"
"Zurich","protection, health","Early Care Critical Illness"
"Zurich","protection, health","Flex Lady Critical Illness"
"Zurich","protection, health","Flex Junior Critical Illness"
"Zurich","protection, health","Flex Maternity Care"
"Zurich","protection, health","Hospital Income Plus"
"Zurich","protection, health","Hospital & Surgical Benefit"
"Zurich","protection, health","Enhance Your Coverage With Our Riders"
"Zurich","protection, life","Zurich ValueLife Pluz"
"Zurich","protection, life","Zurich Essential Cover"
"Zurich","protection, life","Zurich ValueLife Junior"
"Zurich","protection, life","Zurich Prestige Cover"
"Zurich","protection, life","Zurich Everlasting Cover"
"Zurich","protection, life","Zurich Multi Shield"
"Zurich","protection, life","Zurich ValueLife"
"Zurich","protection, life","Zurich ValueLife Premier"
"Zurich","protection, life","Zurich TermLife"
"Zurich","protection, life","Teras Perdana"
"Zurich","protection, life","Zurich SureCover"
"Zurich","protection, life","Max Golden Wanita Protection"
"Zurich","protection, life","PA Protector and PA Medicare"
"Zurich","protection, life","Protect All 110 EVO"
"Zurich","protection, life","Critical Care Premium Waiver"
"Zurich","protection, life","Enhance Your Coverage With Our Riders"
"Zurich","protection, safety","Personal Sentinel V3 Plus"
"Zurich","protection, safety","Individual Personal Accident"
"Zurich","protection, family","Zurich ValueLife Junior"
"Zurich","protection, family","Zurich ValueLife Premier"
"Zurich","protection, family","Zurich Prestige Cover"
"Zurich","protection, family","Domestic Maid Insurance Scheme"
"Zurich","protection, family","Zurich Multi Shield"
"Zurich","protection, family","School Personal Accident"
"Zurich","protection, property","Z-HomeProtect"
"Zurich","protection, property","Fire Insurance"
"Zurich","protection, vehicle","Z-Drive Assist"
"Zurich","protection, vehicle","Z-Driver"
"Zurich","protection, vehicle","Z-Rider"
"Zurich","protection, travel","Z-Travel Insurance (International)"
"Zurich","protection, travel","Z-Travel Insurance (Domestic)"
"Zurich","protection, golf","Golfer’s Insurance"
