Comparison between Results_May_2024_Week_4 and Results_May_2024_Week_5,,,,,,
Date Produced:,29-May-24,,,,,
Etiqa,Investment,MegaPlus Insurance,"The investment-linked plan that secures the lifestyle of your family.

Wealth distribution directly to your nominated loved one(s)

Long-term coverage

Loyalty bonus units

No medical examination

It’s easy to manage your legacy plans with flexible payment tenures of 5, 10, 15, or 20 years, or payment tenures to match the policy term.

",,,
Etiqa,Personal Accident,RAHMAH PA Insurance,"New Essential Insurance coverage at RAHMAH premium

Lump sum cash payout of up to RM80,000 for accidental death or permanent disability

Affordable premium from as low as RM3/month

Flexibility coverage

Funeral allowance benefit

",,,
Etiqa,Personal Accident,OTO 360 Insurance,"A standalone personal accident plan designed for all private car vehicle drivers regardless of the motor coverage provider.

10% instant rebate when you apply online

24-hour breakdown assistance

Unlimited FREE towing service

Covers death or permanent disability of up to RM50,000

",,,
Etiqa,Personal Accident,Buddy PA Insurance,"Accident coverage for sport enthusiasts, victims of crime, women and family.

25% off when you buy online

Hospital cash allowance

Death and permanent disability benefit

Reimbursement for medical expenses

",,,
Etiqa,Personal Accident,RiderCare PA Insurance,"Personal accident plan that will help ease your financial burden.

From only 6 sen a day

RM500 cash allowance

Accidental death and disability benefit

",,,
Etiqa,Personal Accident,Car Accident Protection Special Insurance,"Accident coverage for drivers and passengers

Covers passengers from 3 to 70 years old

Death and permanent disability benefit

Reimbursement for medical expenses

",,,
Etiqa,Personal Accident,Flexi PA Insurance,"Comprehensive on-the-road protection against car accidents as low as RM0.20 sen per day

No medical examination required

Hospital confinement allowance

Death and total permanent disability benefit

24/7 Worldwide coverage

",,,
Etiqa,Personal Accident,Mega PA Insurance,"Four personal accident plans that provide a range of benefits in case of accidents and crime.

Coverage for children and adults

Death and permanent disability benefit

Cash allowance for hospital expenses

",,,
Etiqa,Personal Accident,Cash Care PA Insurance,"An accident plan that adds value to your car insurance coverage

Death and permanent disability benefits for driver and passengers

24-hour breakdown assistance

Unlimited free towing service

RM500 cash allowance

",,,
Etiqa,Education,Aspire Insurance,"Save for your child’s future tertiary education and get them covered with death and permanent disability (TPD) benefits

Cash reward for academic excellence

Insurance coverage for death and permanent disability (TPD)

Maturity benefit

",,,
Etiqa,Education,Madani,"The education plan that helps to protect and ease the burden of education costs.

Education Cash Payouts

Education Celebration Payout

Maturity Payout(s)

Multiple Contribution Payment Term Options

Multiple Maturity Age Options

Death and TPD Coverage

",,,
Etiqa,Health,Etiqa Critical Care Plus,"New Exclusive plan for EPF Member

Direct withdrawal from EPF Account

No medical check-up

Flexible coverage

Covers 42 Critical Illnesses and much more.

",,,
Etiqa,Health,OneMedical,"New A medical plan that provides hospital and surgical benefits, and cashless admission.

5% discount for a family package

Cashless hospital admission

Affordable premium

No medical check-up required

",,,
Etiqa,Health,EasyMedic,"A medical plan that provides hospital and surgical benefits, and cashless admission for your family.

5% discount for a family package

Cashless hospital admission

Affordable premium

No medical check-up required

",,,
Etiqa,Health,Etiqa Critical Care Insurance,"New A critical illness plan you can purchase via direct online withdrawals from your EPF Account.

Direct from EPF Account

Covers 39 critical illnesses

Affordable premium

No medical check-up required

",,,
Etiqa,Health,e-CancerCare Insurance,"New A plan that provides coverage for early stage and major cancer treatments.

Cash payout for early stage cancers, including carcinoma in situ

150% cash payout upon diagnosis of advanced cancer

Coverage from 21 cent a day

No medical check-up required

",,,
Etiqa,Health,Medical Plus Insurance,"A hospital and surgical insurance plan that provides comprehensive medical coverage, unlimited lifetime cover and a high annual limit.

Hospital admission without payment

Inpatient and outpatient benefits

High lifetime coverage limit

",,,
Etiqa,Health,IL Medical Plus Insurance,"A medical benefit add-on (to selected investment-linked plans), to supplement your employment medical coverage.

High annual coverage limit

Choice of premium with Deductible option

No lifetime limit

",,,
Etiqa,Health,IL CI Plus Insurance,"A comprehensive plan that covers 68 illnesses and diseases.

Mental Illness

Cancer

Stroke

Heart Disease

",,,
Etiqa,Health,IL Cancer Shield Insurance,"Comprehensive cover for Early and Advanced Stages Cancer.

Early Cancer Benefit

100% Bounce-Back

200% Cash Payout

",,,
Etiqa,Health,IL Female Essential Insurance,"A comprehensive critical illness coverage just for ladies.

Female Related Illness Coverage

Female Related Cancer Benefit

100% Bounce-Back

Maternity Benefit

",,,
Etiqa,Public Servants,Mortgage Reducing Term Assurance (MRTA),"An insurance coverage that helps to take care of your outstanding housing loan amount in case of any unfortunate event happen to you

Death Benefit

Total and Permanent Disability Benefit (TPD)

",,,
Etiqa,Public Servants,Long Term Fire Insurance (LTFI),"A basic insurance coverage for your home building

Cover for fire, lightning and explosion

Optional add-on coverage for your home

",,,
FWD,Distribution Partners,BSN Home Assure,Term Reducing Assurance Protection Plan that covers your home loans.,,,
FWD,Distribution Partners,BSN RTA,Term Reducing Assurance Protection Plan that covers your personal loans.,,,
FWD,Critical Illness,Cancer Cover+,Cancer Cover+ is a financial protection plan for your journey to recovery with maturity benefit.,,,
FWD,Savings & Investment,Cash Booster,Boost your cash savings with guaranteed payout at maturity with Cash Booster today.,,,
FWD,Distribution Partners,Commute Cover+,Get coverage against events when travelling in a car with Commute Cover+,,,
FWD,Distribution Partners,Dengue Cover+,Get life insurance coverage for Dengue and Zika virus infection plus other benefits.,,,
FWD,Critical Illness,FWD CI Intense Shield,A rider which provides coverage for early and advanced stages of critical illness.,,,
FWD,Critical Illness,FWD IL CI (Accelerated),Get covered against 45 critical illnesses ensuring peace of mind for you and your loved ones.,,,
FWD,Medical Insurance,FWD IL Hospitalisation Income Benefit,"Relieve financial worries with daily hospital income during your hospital stay, allowing you to concentrate on your recovery.",,,
FWD,Critical Illness,FWD IL Living Extra (WOP),"With FWD IL Living Extra (WOP), you can focus on recovering as we waive your premium payment upon diagnosis of any of the 44 critical illnesses. Find out more.",,,
FWD,Life Insurance,FWD IL PA,Get more from your investment-linked plan with personal accident coverage.,,,
FWD,Life Insurance,FWD IL WOP,Provides waiver of premium on diagnosis of any of the 44 critical illnesses,,,
FWD,Critical Illness,FWD Living Extra (Premium Waiver),Provides waiver on diagnosis of any of the 44 critical illness,,,
FWD,Savings & Investment,FWD Max Wealth Campaign,Maximise your wealth with up to 154% Maturity Payout when you sign up for FWD Max Wealth,,,
FWD,Medical Insurance,FWD Medi First,A comprehensive medical plan that ensures your healthcare needs with no Lifetime Limit.,,,
FWD,Life Insurance,FWD Payor Enhanced (Premium Waiver),"Provides waiver of premium upon death, TPD or on diagnosis of any of the 44 critical illness",,,
FWD,"Life Insurance, Savings & Investment",FWD WealthLink,Build a safety net with increasing coverage for you & your loved ones.,,,
FWD,"Life Insurance, Savings & Investment",FWD WealthLink Pro,Boost your protection and build wealth with FWD WealthLink Pro,,,
FWD,Life Insurance,GoSecure & GoSecure+,Secure the legacy of your life & business & have the flexibility to choose policy & payment terms,,,
FWD,Life Insurance,PA Cover+,An essential accident protection & life insurance plan which offers benefits such as No Claim Bonus.,,,
FWD,Distribution Partners,Qaseh,"4 simple plans to meet your needs, ranging from insurance coverage to savings, and other great benefits.",,,
FWD,Distribution Partners,Qaseh Bakti Plus,A health insurance plan that eases your financial burden for worry-free recovery.,,,
FWD,Distribution Partners,QasehLink Pintar,Helps you accumulate wealth while providing valuable insurance protection.,,,
FWD,Life Insurance,i-Care,"From only RM9.75 a month, i-Care offers you affordable life insurance for you & your family",,,
FWD,Life Insurance,i-FlexCover,"Adjust your life insurance coverage in Malaysia anytime, at no extra charge.",,,
FWD,Medical Insurance,i-Med,"From only RM41.85/month, i-Med offers you affordable medical insurance in Malaysia.",,,
FWD,Critical Illness,i-Protect & i-Protect Plus,"From only RM7.60/month, i-Protect & i-Protect Plus offers you affordable critical illness insurance in Malaysia.",,,
Great Eastern,Life Insurance,Great Early VantageCare 2,"The early advantage in critical care

Key Benefits

Broad critical illness coverage
Death or TPD Benefit
Unique BuyBack option",,,
Great Eastern,Life Insurance,Great Generation Care,"The first-ever 3-generation critical illness plan

Key Benefits

Comprehensive coverage against critical illnesses
Child Protect Benefit for your children
Optional Parent Protect Rider to safeguard your parents’ golden years",,,
Great Eastern,Life Insurance,Great MaxiProtector,"Enjoy long-term protection that's easy on premium

Key Benefits

Affordable protection for life
Financial security for your family
Be protected against TPD",,,
Great Eastern,Life Insurance,GREAT Term Direct,"Affordable term life protection made easy

Key Benefits

Affordable premiums till 80 years
Financial cushion during bereavement
Death Benefit",,,
Great Eastern,Life Insurance,GREAT Treasure Gift,"Reach for Great with protection that cherishes your golden years

Key Benefits

Guaranteed acceptance with no medical underwriting
Guaranteed money back of 108% total premiums paid at maturity
Guaranteed high coverage with accidental death benefit of up to 300% basic sum assured",,,
Great Eastern,Life Insurance,Great VantageCare 2,"The protection advantage in critical care

Key Benefits

Critical Illness coverage
Death or TPD benefit
Unique BuyBack option",,,
Great Eastern,Life Insurance,SmartProtect Junior,"Chart a secure future for your child

Key Benefits

Protection with investment allocation
Additional 1% sum assured each year
Protection against death or TPD",,,
Great Eastern,Life Insurance,SmartProtect Sure,"Wealth protection to safeguard your future

Key Benefits

High protection against life's unexpected events
Extra safety net of 1% additional sum assured each year
Guaranteed insurance charge rates",,,
Great Eastern,Life Insurance,SmartProtect Wealth Max,"Financial assurance with optimal protection

Key Benefits

Various coverage term options with flexible premium payment terms
Multiple booster rewards to celebrate policy milestones
Double maturity booster to enhance your savings",,,
Great Eastern,Life Insurance,SmartProtect Wealth Plus,"Embrace your future confidently with strong wealth protection

Key Benefits

Long-term protection up to 100 years next birthday
Extra safety net of additional 1% sum assured each year
High protection against death or TPD",,,
Great Eastern,Life Insurance,SmartProtect You,"Comprehensive protection that’s always got your back

Key Benefits

Protection starting from just RM100 a month
Two coverage term options to suit your life goals
Additional 1% sum assured each year",,,
Great Eastern,Health Insurance,GREAT Critical Care Direct,"Facing life’s uncertainties with confidence

Key Benefits

Extensive critical illness coverage
Financial cushion during bereavement
Affordable premiums till age 80",,,
Great Eastern,Health Insurance,GREAT Critical Care Relief,"Reach for Great protection with the essential critical care plan

Key Benefits

Coverage for 5 prevalent critical illnesses
Coverage for hospital admission events
Return of total premiums paid or more at maturity",,,
Great Eastern,Health Insurance,GREAT Health Direct,"A medical plan to protect you against life’s uncertainties

Key Benefits

Essential medical benefits
Affordable premiums till age 80
Easy application",,,
Great Eastern,Health Insurance,GREAT Medic Shield 2 + GREAT Medic Million Extender 2,"Complete medical benefits that you can count on

Key Benefits

High overall annual limit, no overall lifetime limit
Comprehensive medical benefits with minimal deductible per any one disability
Post-hospitalisation support for your recovery",,,
Great Eastern,Health Insurance,GREAT Multi Cancer Care,"Comprehensive care at every stage of the cancer journey

Key Benefits

Comprehensive coverage against cancer
Additional benefits to aid your recovery
Maturity Benefit",,,
Great Eastern,Health Insurance,Smart Baby Shield Plus,"Reach for Great protection for your little bundle of joy

Key Benefits

Greater assurance during pregnancy
Critical care for your newborn
Extended protection for congenital conditions",,,
Great Eastern,Health Insurance,Smart Critical Relief ,"Free yourself from financial worry upon hospitalisation

Key Benefits

Coverage on hospital and Intensive Care Unit (ICU) admission up to 210% of sum assured
Up to two claims for category 1 admission event
Coverage for hospital and ICU admission of any unknown diseases that may emerge in the future",,,
Great Eastern,Health Insurance,Smart Early Payout CriticalCare,"The first plan in Malaysia that pays at the early stages of critical illness

Key Benefits

Early payout, finances saved
Multiple claims across illnesses
Added coverage with 'Buy Back' option",,,
Great Eastern,Health Insurance,SmartMedic Shield + SmartMedic Shield Plus,"Extensive medical coverage for your healthcare needs

Key Benefits

Comprehensive medical benefits with minimal deductible per disability
Post-hospitalisation support for your full recovery
High Overall Annual Limit, no Overall Lifetime Limit",,,
Great Eastern,Health Insurance,Smart Multi Critical Care,"The life-protecting critical illness solution against 188 conditions

Key Benefits

Critical illness coverage up to 800% the rider sum assured
Double protection against cancer, heart attack and stroke
Additional special benefit of up to 60% the rider sum assured",,,
Great Eastern,Wealth Accumulation,Great Flexi Plus,"Grow your savings towards a better future

Key Benefits

Limited premium payment term
Yearly Guaranteed Cash Payment (GCP)
Maturity benefit at the end of your policy term",,,
Great Eastern,Wealth Accumulation,Great Flexi Wealth,"A solution that takes your savings further

Key Benefits

Short financial commitment, limited premium payment terms
Hassle-free enrolment with no medical underwriting
Yearly Guaranteed Cash Payment (GCP)",,,
Great Eastern,Wealth Accumulation,GREAT Multi-Gen Wealth 2,"Protect your financial legacy with the flexibility to customise your stream of income for generations to come

Key Benefits

Long-term savings that are sustainable across generations
Limited premium commitments of 5, 10, or 20 years
Steady stream of yearly income providing potential upside over the long term",,,
Great Eastern,Wealth Accumulation,GREAT Wealth Enhancer,"Investment booster and maturity benefit to aid you in your wealth accumulation dreams

Key Benefits

Short financial commitment with choices of 15 or 20 years of coverage
High payouts from the investment booster feature and maturity benefit
Hassle free enrolment with no medical underwriting",,,
Great Eastern,Wealth Accumulation,SmartInvest Growth,"Enhance your financial safety net with investment opportunities

Key Benefits

Enhance your protection
Helps your money go further
Top up anytime to tap opportunities",,,
Great Eastern,Wealth Accumulation,SmartInvest Premier,"Investments geared towards realising your dreams

Key Benefits

High premium allocation of 95%
Loyalty Incentive that provides additional premium allocation
Hassle-free enrolment with no medical underwriting",,,
Great Eastern,Personal Accident Insurance,GreatShield Active,"The essential coverage for the lifestyle you care about

Key Benefits

Complete Active Lifestyle protection up to age 100
Easy Enrolment from age 30 days up to 70 years old
Double & Triple Indemnity on Public Conveyance or at Public Sports Event",,,
Great Eastern,Personal Accident Insurance,Platinum PA,"Enjoy a superior personal accident plan that has high coverage with Platinum PA

Key Benefits

Minimum sum
Personal liability
Nursing care",,,
Great Eastern,Personal Accident Insurance,Lady Protector,"Enjoy special female-related benefits with Lady Protector

Key Benefits

Snatch theft: compensation to RM2,000
Cosmetic surgery reimbursement
Sexual harassment reimbursement to RM5,000",,,
Great Eastern,Personal Accident Insurance,MOS Shield,"MOS Shield safeguards you by providing the protection coverage you need against Dengue Fever, Malaria or Zika Virus

Key Benefits

Cover for death due to mosquito bite
Convenient as an Add-on to your Personal Accident Policy",,,
Great Eastern,Personal Accident Insurance,Easi Shield,"Protection catered to your needs, 365 days, around the clock

Key Benefits

Terrorism Extension for Accidental Death or Total Permanent Disablement
Renewal Bonus up to 80%
Hijacking Inconvenience",,,
Great Eastern,Personal Accident Insurance,Easi-Protector,"Enjoy innovative and coverage with Easi-Protector, wherever you may be

Key Benefits

Weekly benefits
Double indemnity
Personal liability to third parties",,,
Great Eastern,Personal Accident Insurance,Junior Protector,"Junior Protector protects your children from head to toe

Key Benefits

Medical expenses
Academic achievement award
Reimbursement of examination",,,
Great Eastern,Personal Accident Insurance,Classic PA,"Protects you against unfortunate and unforeseen events with the Classic PA plan

Key Benefits

Medical expenses
Government hospital allowance
Purchase of prostheses",,,
Great Eastern,Personal Accident Insurance,Great Shield Special,"The essential coverage for people engaged in high risk occupations

Key Benefits

Accidental death
Permanent disablement
Medical expenses reimbursement",,,
Great Eastern,Travel Insurance,Travel For More,"Get wider and deeper travel coverage for you and your family with Travel For More

Key Benefits

With COVID-19 Benefits Extension
Emergency medical evacuation and repatriation
Loss of travel documents and personal money
Home contents benefit",,,
Great Eastern,Travel Insurance,Great Voyager,"Travel smart with thorough protection

Key Benefits

With COVID-19 Benefits Extension
Accidental Death and Permanent Disablement
Wide Range of Medical Benefits
More Cover for Travel Inconveniences",,,
Great Eastern,Motor Insurance,Motor Insurance,"We cover all classes of vehicles and offers one of the widest range of benefits.

Key Benefits

Third party bodily injury and death
Third party property loss or damage
Loss or damage to your own vehicle",,,
Great Eastern,Home Insurance,Great Shield Home,"Shelters your home and its content from unexpected events.

Key Benefits

Mortgage protection for uninhabitable house
Thirty (30) days’ purchase protection
Machinery breakdown",,,
Great Eastern,Home Insurance,Easi-Home,"Safeguard your home with Easi-Home, and have a peace of mind.

Key Benefits

Cover against accidental fire, water damage, natural disaster etc.
Theft
Repairs to damaged property",,,
Great Eastern,Home Insurance,Houseowner / Household Insurance,"Protects your house and its content with our Houseowner/Household Insurance Policy.

Key Benefits

Cover against loss from fire, lightning or explosions
Claim if your building is hit by a vehicle
Cover against water damage",,,
Great Eastern,Hospital & Surgical Insurance,EasiMed Major,"A major medical insurance for you and your loved ones

Key Benefits

Renewal up to age 100 years and no Lifetime Limit
Renewal Bonus up to 50%
Loyalty discount at 15% and family discount at 10% on gross premium payable",,,
Great Eastern,Hospital & Surgical Insurance,Easi HealthCare,"Easi HealthCare insurance tailored to your medical needs

Key Benefits

High overall annual and lifetime limits
No co-insurance if you do not stay in Room and Board higher than your eligible benefit
Invitation to annually renew until 85 years old",,,
Great Eastern,Hospital & Surgical Insurance,EasiMed Active,"Medical insurance for you and your family’s active lifestyles

Key Benefits

Unlimited Overall Lifetime Limit
Get rewarded by staying healthy with No Claim Renewal Bonus
Offers optional benefits which suits your active lifestyle",,,
Great Eastern,Sports Insurance,Easi-Golf,"Easi-Golf covers against a wayward golf ball causing damage or injuries

Key Benefits

Public liability
Personal accident
Hole-in-One expenses",,,
Great Eastern,Other Insurance,Food Stall Insurance,"Food Stall Insurance protects you, your food business and your employees

Key Benefits

Employer's liability
Theft, armed robbery or hold-up
Personal accident cover for employees",,,
Generali,Health insurance,Medic Essential Rider,"A medical plan that supports you and your family during these trying times
There may come a time where you are challenged by uncertainties over health and financial issues. Thus, it is always essential to have extra protection to safeguard yourself and your loved ones. In view of all the unpredictable events, we are here to provide you with a medical plan that is packed with essential health protection benefits at an affordable premium.

‍

Medic Essential Rider is a medical plan to support you and your family during these trying times. Besides the medical coverage of in-patient and out-patient treatments, this plan also comes with death coverage and financial support upon medical quarantine for you and your family. It gives you coverage up to age 81 with NO LIFETIME LIMIT to fulfil your and your family’s medical protection needs.

‍

Medic Essential Rider is a medical plan that you and your family must have for your peace of mind.

‍",,,
Generali,Health insurance,eMedic Plus,"Easily accessible medical protection 24/7
Malaysia’s favourite online medical card just got a serious upgrade! Introducing eMedic Plus, a standalone online medical card that ensures you have affordable and easily accessible protection against the rising costs of medical fees.

‍

eMedic Plus is available for those aged between 15 days and 55 years old. There are 4 plans to choose from, with Annual Limit of up to RM150,000, renewable up to age 80. This plan is great for you if you are looking for your first medical card or supplementary medical protection for your existing plan.

‍

eMedic Plus also comes with Family Plan! Get yourself and your family protected with 5% premium discount, from as low as RM41 per month!
‍

Celebrating Good Health Campaign: Sign up for eMedic Plus, eLife Protector+ or eCritical Early Care and receive RM50 Touch ‘n Go eWallet credit! Limited time offer. Terms & Conditions apply. Find out more here!
",,,
Generali,Health insurance,SmartCare Optimum Plus,"Complete Medical Plan For Protection Against Rising Medical Costs
SmartCare Optimum Plus is an all-in-one medical plan that protects you and your family against escalating medical costs.

‍

Choose from 3 affordable plans designed to fit different lifestyle needs and enjoy comprehensive protection so you can focus on healthy recovery.",,,
Generali,Health insurance,Multi Medic,"
Build your own insurance plan with the most flexible medical plan in the market.

Fully Customisable Plans

Choose what you need to protect you and your family.

Personalise your plan according to your medical background, life stages, career and more. You can even review and change your coverage whenever you need to.

What are the unique features of Multi Medic?

✓ Enjoy fully customisable plans

Personalise your plan according to your medical background, life stages, career and more with the option to review and change your coverage whenever you need.

✓ Unlimited days on Room and Board

No limit or maximum days of admission when you are admitted to a private or government hospital.

✓ Cashless admission at panel hospitals

Get faster access to treatment at our panel hospitals with the convenience of cashless admission.

✓ Automatic increase of limit of coverage by 10%

Every 3 years, the overall annual limit and inner limit will automatically increase by 10%. This is to ensure that the coverage is adequate, in line with inflation and increased medical expenses.

✓ Family discounts

Purchase for your immediate family members and get a Family Discount up to 10% (not applicable for Optional Coverage)

✓ Optional Coverage

Should you want a more holistic coverage, you can also consider these Riders:

Emergency Medical Evacuation & Repatriation
Hospital Cash Benefit Insurance
Outpatient Insurance
Dental Insurance
Critical Illness Insurance
Personal Accident.

How Much Does It Cost?

Pricing depends on an individual’s respective gender, age, BMI, occupation and lifestyle, etc. Get in touch with us and we’ll provide a quotation.

Want to find out more about Multi Medic?

You can speak to any of our authorized agents. If you don’t have one, email us at info@generali.com.my and we will find one for you.
‍

‍
The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)

‍",,,
Generali,Health insurance,Multi Medi-Plus,"
Many of us are aware that medical cost is on the rise, and most of us are not prepared financially to face this rising medical cost despite having some minimal medical cover from our employers. Especially so if we suffer from critical and life-threatening disease, we may have to use our hard-earned savings or borrow some money from friends to pay for the medical expenses.

With Multi Medi-PLUS, you and your family members will have :

✓ WORLDWIDE 24-HOUR COVER

Regardless of where you and your family members are, Multi Medi-PLUS covers you 24 hours a day and anywhere in the world, whether you travel for holidays or business assignments.

✓ EXTENSIVE AND COMPREHENSIVE BENEFITS

You and your family members have the following benefits:

Renewal at your option (up to 101 years) after 2 years with Multi Medi-PLUS
Lodger Fees for parents if child (below 15 years old) is hospitalised
Second Surgical Opinion
Daycare and Outpatient Surgery
Outpatient Cancer Treatment and Kidney Dialysis
Home Nursing Care
Accidental Death Benefit

✓ EXTENSIVE AGE COVER

Anyone who is between the age of 30 days and 60 years old based on last birthday. Renewal can be extended up to 101 years old (last renewal age of entry is 100 years old). Child is defined as aged from 30 days onwards and is unmarried, unemployed and is studying full-time in a local institution.

✓ HASSLE-FREE HOSPITAL ADMISSION FOR COVERED CONDITIONS

Hospital admission and discharge will become less of a hassle with Generali Medical Card. Our appointed Third Party Administrator (TPA) will facilitate the admission at any one of the participating hospitals for our policyholders when they suffer from a Covered Condition.

‍

‍

‍The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)

‍",,,
Generali,Health insurance,Multi Medical-Protector,"
With medical emergencies a reality and hospital cost getting out of control, medical insurance is very crucial.

At Generali, our \Multi Medical-Protector\"" is a comprehensive health insurance plan that will help ease your concern at an affordable cost. It is a specially tailored Hospital and Surgical insurance cover that provides coverage for surgery or treatment in hospital for all Covered Conditions", regardless of minor or major disability.,,
,,,,,,
Unique Features,,,,,,
,,,,,,
Besides the basic cover for Inpatient and Outpatient Benefits, the unique feature of Multi Medical-Protector is it provides cover for the Defined Major Disabilities.,,,,,
,,,,,,
Other benefits provided here include :,,,,,,
,,,,,,
lump sum Recuperative Allowance if a patient is hospitalised for more than five (5) consecutive days.,,,,,,
Hospital Inconvenience as a daily cash benefit if hospitalised for more than five (5) consecutive days.,,,,,,
lump sum payment under Major Disabilities Relief.,,,,,,
,,,,,,
What’s Under Defined Major Disabilities?,,,,,,
,,,,,,
Multi Medical Protector covers Heart Attack, Stroke, Cancer, Brain Surgery, Open Heart Surgery, Coma, Major Organ Transplant etc. Download our product brochure for more info.
,,,,,,
Hassle-free Hospital admission at our participating panel hospitals.,,,,,,
,,,,,,
In addition, with our Generali Medical Card, hospital admission has been made simpler for any Covered Conditions. Our appointed Third Party Administrator (TPA) will arrange for your admission with our participating panel hospitals.,,,,
,,,,,,
Download the mobile app: IHP Health Concierge at either Play Store or App Store,,,,,,
,,,,,,
Family Discount,,,,,,
,,,,,,
If you buy a family policy with four (4) or more Insured Persons under a same policy, 15% discount on total premium will be given!,,,,,
,,,,,,
‍,,,,,,
,,,,,,
‍,,,,,,
"The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)""",,,,,,
Generali,Health insurance,Medic 101,"
This is a comprehensive Hospitalisation and Surgical Policy that is designed to complement and provide additional protection to your existing policy (which you may or may not have).

Highlights of Medic 101

✓ All eligible expenses shall be reimbursed up to the Limits of Policy.

✓ Policy is renewable at the option of the Insured. However, the premium rates are not guaranteed.

✓ Renewable up to age 101 years.

✓ Coverage up to RM390,000 per year.

✓ No Lifetime Limit.

✓ No Upgraded Room and Board Co-Payment condition.

✓ No requirement of re-declaration of health status at renewal.

✓ Medical Card facility for admission and discharge from panel hospitals for covered disabilities.

✓ Covers Organ transplant up to Limits of Policy.

✓ Also covered

Outpatient treatments for Cancer and Kidney Dialysis.
Outpatient Physiotherapy Treatments and Home Nursing Care after hospitalisation.

✓ Deductible of RM10,000 per Disability per Policy Year so as to reduce premium costing.

Features

✓ Medic 101 is designed to complement and provide protection as a secondary level of cover to the normal and basic Hospitalisation and Surgical Insurance that you may have insured or coverage provided by your employer.

✓ The benefits of your basic/standard cover may not be adequate to meet the ever-increasing cost of health care and medical expenses for complicated, serious or complex surgeries or treatment.

✓ Accident Death benefits are payable.

✓ High limits of cover at an affordable premium.

✓ One common level of premium regardless of occupational class and gender.

✓ 30% automatic increase of Overall Annual Limit to RM390,000 when you are also covered by an active Multi Medi-PLUS or Multi Medical Protector with us for not less than two consecutive years at the time of hospital admission.

✓ High maximum entry age of 65 years and renewable up to 101 years.

✓ Deductible per Disability:

RM 10,000
RM 5,000 (if the entire treatment is in Malaysian Government Hospital)
Only one Deductible shall apply if family members are injured in the same motor vehicle accident.


The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)

‍",,,
Generali,Motor & home,Private Car Insurance & Available Add Ons,"
Safeguard your car with Generali’s Private Car Comprehensive insurance. You can also select add-on options and benefits for enhanced protection on the road.

To know more about the benefit of our Generali Roadside Assistance, call 1800 22 2262.",,,
Generali,Motor & home,Motorcycle,"Motorcycle Insurance
Provides you the protection that you need so you can ride with peace of mind.",,,
Generali,Motor & home,SmartHome Optimum (Enhanced),"Safeguard your home and valuable contents
Damage or break-ins to your home can be financially and emotionally distressful for you and your family.

With SmartHome Optimum (Enhanced), you can protect your home and valuable belongings with one easy plan according to your needs.",,,
Generali,Motor & home,Home Protector Enhanced,"
The Home Protector Enhanced is an all-encompassing home insurance protection plan that is designed to protect your home and your contents within for peace of mind.

‍

Building and/or Content coverage according to your needs

Home Protector Enhanced allows you to select the type of protection that best suits your needs.

You may select houseowner insurance to cover the building, or home contents insurance to cover the contents, or if you prefer a comprehensive cover, you may take up both houseowner and home contents insurance.

For your home contents, you have the choice of Householder coverage, or All Risk coverage to protect your home contents and valuables.

‍

Complimentary Benefits

Home Protector Enhanced provides various additional complimentary benefits such as:

Replacement of External Window / Door locks up to RM500
Replacement of Burst Pipe (including hacking and plastering) up to RM1,500
Terrorism Cover (material damage only) up to RM500,000
And many more!

‍

Optional Extensions

Home Protector Enhanced offers various optional extensions for your property ie: Subsidence & Landslip, Plate Glass Damage, or Riot, strike and malicious damage.

 

Optional Riders

Add on Worldwide Personal All Risks and Worldwide Family Liability to cover your personal effects and your family against 3rd party liability.

‍

The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)",,,
Generali,SAVINGS & LIFE PROTECTION,Wealth Creator,"Gift of Love
Are creating wealth and achieving financial freedom your long-term goals in life? When you are too focused on wealth creation and accumulation, there might be an oversight on wealth protection. Any unforeseen circumstance might jeopardise your efforts overnight, leaving your loved ones in a worrying state.

We acknowledge your need for wealth creation, accumulation and distribution. Let Wealth Creator – our best legacy plan – protect you and your wealth throughout the entire wealth management journey. Leave the hard work to us to manage your wealth protection!

‍",,,
Generali,SAVINGS & LIFE PROTECTION,Life 80,"Life Protection with Optional Benefits
The risk of illnesses and death increases with age. Have peace of mind and ensure the financial protection of your loved ones so that your family will be taken care of when you are gone.
",,,
