insurer,bank_name,product_type,product_name,product_description,insurance_type,discovered_place
Etiqa,-,H&P,Car Accident Protection Special Insurance,"Accident coverage for drivers and passengers

Covers passengers from 3 to 70 years old

Death and permanent disability benefit

Reimbursement for medical expenses

",General Insurance,Insurer
Etiqa,-,H&P,Takaful Private Car Driver & Passenger,"Accident coverage for drivers and passengers

Get cash back when you make no claims

Covers passengers from 5 to 70 years old

Death and permanent disability benefit

Reimbursement for medical expenses

",General Takaful,Insurer
Etiqa,-,H&P,Flexi PA Insurance,"Comprehensive on-the-road protection against car accidents as low as RM0.20 sen per day

No medical examination required

Hospital confinement allowance

Death and total permanent disability benefit

24/7 Worldwide coverage

",General Insurance,Insurer
Etiqa,-,H&P,Takaful Flexi PA,"Comprehensive on-the-road protection against car accidents as low as RM0.20 sen per day

Get cash back when you make no claims

No medical examination required

Hospital confinement allowance

Death and total permanent disability benefit

24/7 Worldwide coverage

",General Takaful,Insurer
Etiqa,-,H&P,Mega PA Insurance,"Four personal accident plans that provide a range of benefits in case of accidents and crime.

Coverage for children and adults

Death and permanent disability benefit

Cash allowance for hospital expenses

",General Insurance,Insurer
Etiqa,-,H&P,Mega PA Takaful,"Four personal accident plans that provide a range of benefits in case of accidents and crime.

Get cash back when you make no claims

Coverage for children and adults

Death and permanent disability benefit

Cash allowance for hospital expenses

",General Takaful,Insurer
Etiqa,-,H&P,Femina Special Takaful,"A comprehensive protection plan created with women in mind

Get cash back when you make no claims

Female cancers coverage

Death due to maternity complications

Facial reconstructive surgery or dental treatment due to accidents

Skin grafting due to accident and/or burns

",General Takaful,Insurer
Etiqa,-,H&P,Cash Care PA Insurance,"An accident plan that adds value to your car insurance coverage

Death and permanent disability benefits for driver and passengers

24-hour breakdown assistance

Unlimited free towing service

RM500 cash allowance

",General Insurance,Insurer
Etiqa,-,H&P,Takaful Cash Care PA,"An accident plan that adds value to your car insurance coverage

Death and permanent disability benefits for driver and passengers

Get cash back when you make no claims

24-hour breakdown assistance

Unlimited free towing service

RM500 cash allowance

",General Takaful,Insurer
Etiqa,-,Savings/Investment,Madani,"The education plan that helps to protect and ease the burden of education costs.

Education Cash Payouts

Education Celebration Payout

Maturity Payout(s)

Multiple Contribution Payment Term Options

Multiple Maturity Age Options

Death and TPD Coverage

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,MEDIC eDGE Takaful,"A comprehensive medical plan that provides the protection you deserve from the start.

No Lifetime Limit

Guaranteed Renewal

Two Deductible Options

Etiqa+ App

",Family Takaful,Insurer
Etiqa,-,H&P/Medical/CI,Etiqa Critical Care Plus,"New Exclusive plan for EPF Member

Direct withdrawal from EPF Account

No medical check-up

Flexible coverage

Covers 42 Critical Illnesses and much more.

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,Etiqa Critical Care Takaful Plus,"New Exclusive plan for EPF Member

Direct withdrawal from EPF Account

No medical check-up

Flexible coverage

Covers 42 Critical Illnesses and much more.

",Family Takaful,Insurer
Etiqa,-,H&P/Medical/CI,OneMedical,"New A medical plan that provides hospital and surgical benefits, and cashless admission.

5% discount for a family package

Cashless hospital admission

Affordable premium

No medical check-up required

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,OneMedical Takaful,"New A medical plan that provides hospital and surgical benefits, and cashless admission.

5% discount for a family package

Cashless hospital admission

Affordable contribution

No medical check-up required

",Family Takaful,Insurer
Etiqa,-,H&P/Medical/CI,EasyMedic,"A medical plan that provides hospital and surgical benefits, and cashless admission for your family.

5% discount for a family package

Cashless hospital admission

Affordable premium

No medical check-up required

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,Etiqa Critical Care Insurance,"New A critical illness plan you can purchase via direct online withdrawals from your EPF Account.

Direct from EPF Account

Covers 39 critical illnesses

Affordable premium

No medical check-up required

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,Etiqa Critical Care Takaful,"New A critical illness plan you can sign-up for via direct online withdrawals from your EPF Account.

Direct from EPF Account

Covers 39 critical illnesses

Affordable contribution

No medical check-up required

",Family Takaful,Insurer
Etiqa,-,H&P/Medical/CI,e-CancerCare Insurance,"New A plan that provides coverage for early stage and major cancer treatments.

Cash payout for early stage cancers, including carcinoma in situ

150% cash payout upon diagnosis of advanced cancer

Coverage from 21 cent a day

No medical check-up required

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,e-CancerCare Takaful,"A shariah-compliant plan that provides coverage for early stage and major cancer treatments.

Cash payout for early stage cancers, including carcinoma in situ

150% cash payout upon diagnosis of advanced cancer

Coverage from 21 cent a day

No medical check-up required

",Family Takaful,Insurer
Etiqa,-,H&P/Medical/CI,Medical Plus Insurance,"A hospital and surgical insurance plan that provides comprehensive medical coverage, unlimited lifetime cover and a high annual limit.

Hospital admission without payment

Inpatient and outpatient benefits

High lifetime coverage limit

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,Medical Plus Takaful,"A hospital and surgical insurance plan that provides comprehensive medical coverage, unlimited lifetime cover and a high annual limit.

Get cash back when you make no claims

Hospital admission without payment

Inpatient and outpatient benefits

High lifetime coverage limit

",Family Takaful,Insurer
Etiqa,-,H&P/Medical/CI,IL Medical Plus Insurance,"A medical benefit add-on (to selected investment-linked plans), to supplement your employment medical coverage.

High annual coverage limit

Choice of premium with Deductible option

No lifetime limit

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,IL CI Plus Insurance,"A comprehensive plan that covers 68 illnesses and diseases.

Mental Illness

Cancer

Stroke

Heart Disease

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,IL Cancer Shield Insurance,"Comprehensive cover for Early and Advanced Stages Cancer.

Early Cancer Benefit

100% Bounce-Back

200% Cash Payout

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,IL Female Essential Insurance,"A comprehensive critical illness coverage just for ladies.

Female Related Illness Coverage

Female Related Cancer Benefit

100% Bounce-Back

Maternity Benefit

",Life Insurance,Insurer
Etiqa,-,H&P/Medical/CI,Takafulink Medical Plus,"Comprehensive Medical Care for better and brighter days ahead.

High Coverage Limit

Deductible Cover

Etiqa Smile App

",Family Takaful,Insurer
Etiqa,-,TBD,Mortgage Reducing Term Assurance (MRTA),"An insurance coverage that helps to take care of your outstanding housing loan amount in case of any unfortunate event happen to you

Death Benefit

Total and Permanent Disability Benefit (TPD)

",Conventional,Insurer
Etiqa,-,TBD,Mortgage Reducing Term Takaful (MRTT),"A takaful coverage that helps to take care of your outstanding home financing amount in case of any unfortunate event happen to you

Death Benefit

Total and Permanent Disability Benefit (TPD)

",Takaful,Insurer
Etiqa,-,TBD,Long Term Fire Insurance (LTFI),"A basic insurance coverage for your home building

Cover for fire, lightning and explosion

Optional add-on coverage for your home

",Conventional,Insurer
Etiqa,-,TBD,Long Term Fire Takaful (LTFT),"A basic fire takaful coverage for your home building

Cover for fire, lightning and explosion

Optional add-on coverage for your home

",Takaful,Insurer
Etiqa,-,Medical,IL Ultimate Health,,Life Insurance,Insurer
Etiqa,-,Critical Illness,IL Lady Care,,Life Insurance,Insurer
Etiqa,-,Critical Illness,IL Infinite Care,,Life Insurance,Insurer
FWD,-,Savings/Investment,Cash Booster,Boost your cash savings with guaranteed payout at maturity with Cash Booster today.,Life Insurance,Insurer
FWD,-,Life,FWD ADD Rider,"A solo-employment starter pack that provides support on your medical expenses and financial as well as mental health support when you’re accidentallyinjured, at a contribution rate you can afford",Family Takaful,Insurer
FWD,-,Life,FWD Accidental Death Benefit Rider,Accidental Death Benefit Rider helps to enhance your takaful plan to increase your coverage against transportation accidents.,Family Takaful,Insurer
FWD,-,Critical Illness,FWD Big 3 Critical Illness Protection Plan,"We’ll cover you for up to RM250,000 for cancer, heart attack or stroke - from RM10.27/month.",Family Takaful,Insurer
FWD,-,"Medical, Critical Illness",FWD CI First,A plan that reduces complexities and constraints for critical illnesses when you need it most—now and in the future.,Family Takaful,Insurer
FWD,-,Critical Illness,FWD CI Intense Shield,A rider which provides coverage for early and advanced stages of critical illness.,Life Insurance,Insurer
FWD,-,Medical,FWD Care Direct,"We’ll cover up to RM250,000 for cancer (including early stage cancer) from RM10.83/month.",Family Takaful,Insurer
FWD,-,"Medical, Critical Illness",FWD Critical Illness Lite Rider,We recognise the importance of good health and will go to great lengths to look after your wellbeing.,Family Takaful,Insurer
FWD,-,"Medical, Critical Illness",FWD Critical Illness Rider,A takaful add-on that provides benefits in full diagnosis of a critical illness to help you tackle it immediately.,Family Takaful,Insurer
FWD,-,"Medical, Critical Illness",FWD Critical Illness Waiver of Contribution Rider,Be free from making future takaful payments with this add-on so you can focus on getting treatment for your critical illness.,Family Takaful,Insurer
FWD,-,Life,FWD Family First,Family means no one gets left behind — a takaful plan to shield your family against critical illnesses even as life changes.,Family Takaful,Insurer
FWD,-,Life,FWD Future First,"A takaful plan that provides more than just financial help, but also emotional and practical support to heal after loss of life.",Family Takaful,Insurer
FWD,-,Savings/Investment,FWD Guaranteed Income Booster,Peace of mind with guaranteed stream of income every year.,Life Insurance,Insurer
FWD,-,Critical Illness,FWD Hajj Rider,Get additional protection during Hajj or umrah with this add-on so you can perform your obligations in peace.,Family Takaful,Insurer
FWD,-,Critical Illness,FWD IL CI (Accelerated),Get covered against 45 critical illnesses ensuring peace of mind for you and your loved ones.,Life Insurance,Insurer
FWD,-,Medical,FWD IL Hospitalisation Income Benefit,"Relieve financial worries with daily hospital income during your hospital stay, allowing you to concentrate on your recovery.",Life Insurance,Insurer
FWD,-,Critical Illness,FWD IL Living Extra (WOP),"With FWD IL Living Extra (WOP), you can focus on recovering as we waive your premium payment upon diagnosis of any of the 44 critical illnesses. Find out more.",Life Insurance,Insurer
FWD,-,Life,FWD IL PA,Get more from your investment-linked plan with personal accident coverage.,Life Insurance,Insurer
FWD,-,Life,FWD IL WOP,Provides waiver of premium on diagnosis of any of the 44 critical illnesses,Life Insurance,Insurer
FWD,-,Critical Illness,FWD Income First,A takaful savings plan that balances the wants of today and the plans of tomorrow with annual cash payments.,Family Takaful,Insurer
FWD,-,Savings/Investment,FWD Invest First Plus – Legacy Plan,A one-step solution for your legacy planning. Invest and expand your wealth to leave behind a secured future for your family.,Family Takaful,Insurer
FWD,-,Savings/Investment,FWD Invest First Plus – Wealth Management Plan,A customisable investment-linked takaful plan that combines protection and investment to secure your retirement.,Family Takaful,Insurer
FWD,-,Savings/Investment,FWD Invest First – Education Plan,"FWD Invest First’s education plan grows your savings and protects your wealth, so you can invest more in your kid's education without debt burdens.",Family Takaful,Insurer
FWD,-,Medical,FWD Itqan Medik Rider,"Provides additional coverage in the event of hospitalisation, surgery and outpatient treatment.",Family Takaful,Insurer
FWD,-,Life,FWD Life First,We designed FWD Life First for people like you. A protection plan designed to look into the needs of your whole family – from your parents to your children – should you not be able to carry out your responsibilities.,Family Takaful,Insurer
FWD,-,Critical Illness,FWD Living Extra (Premium Waiver),Provides waiver on diagnosis of any of the 44 critical illness,Life Insurance,Insurer
FWD,-,Savings/Investment,FWD Maqbul Link,An investment-linked plan that protects you and your family as well as savings for your future needs.,Family Takaful,Insurer
FWD,-,Savings/Investment,FWD Max Wealth,Maximise your wealth with up to 154% Maturity Payout when you sign up for FWD Max Wealth,Life Insurance,Insurer
FWD,-,Medical,FWD Medi First,A comprehensive medical plan that ensures your healthcare needs with no Lifetime Limit.,Life Insurance,Insurer
FWD,-,Medical,FWD Medical Care+,"Comprehensive takaful medical card covering takaful benefits, including hospitalisation, inpatient and outpatient treatment. Get up to 45% savings when you choose a deductible option.",Family Takaful,Insurer
FWD,-,Medical,FWD Medical Plus Rider,"Getting quality treatment here can be time consuming. With this takaful add-on, we can fast-track your medical care with ease",Family Takaful,Insurer
FWD,-,Medical,FWD Medical Rider,"Getting quality treatment here can be time consuming. With this takaful add-on, we can fast-track your medical care with ease.",Family Takaful,Insurer
FWD,-,Medical,FWD Medsecure Direct,A regular step-up contribution takaful plan for a daily hospital income during hospitalisation.,Family Takaful,Insurer
FWD,-,Life,FWD Payor Enhanced (Premium Waiver),"Provides waiver of premium upon death, TPD or on diagnosis of any of the 44 critical illness",Life Insurance,Insurer
FWD,-,Life,FWD Payor Lite Rider,"With this add-on, keep all wealth plans for your family going even after you pass on or have a total and permanent disability.",Family Takaful,Insurer
FWD,-,Life,FWD Payor Rider,"Keep all wealth plans for your family going even after you have a critical illness, die, or have a permanent disability.",Family Takaful,Insurer
FWD,-,Life,FWD Protect Direct,A protection takaful that covers death for you and your family without the involvement of intermediaries.,Family Takaful,Insurer
FWD,-,Medical,FWD SpecialMed 2,"Online medical plan tailored for people with learning, visual, and hearing disabilities.",Family Takaful,Insurer
FWD,-,"Life, Savings/Investment",FWD WealthLink,Build a safety net with increasing coverage for you & your loved ones.,Life Insurance,Insurer
FWD,-,"Life, Savings/Investment",FWD WealthLink Pro,Boost your protection and build wealth with FWD WealthLink Pro,Life Insurance,Insurer
FWD,-,"Life, Critical Illness",FWD i-Lindung Term Takaful & Critical Illness Plan,Auto-renewable plans exclusive for EPF members. Cover yourself or along with family.,Family Takaful,Insurer
FWD,-,Life,GoSecure & GoSecure+,Secure the legacy of your life & business & have the flexibility to choose policy & payment terms,Life Insurance,Insurer
FWD,-,Life,PA Cover+,An essential accident protection & life insurance plan which offers benefits such as No Claim Bonus.,Life Insurance,Insurer
FWD,-,Life,i-Care,"From only RM10.50/month, i-Care offers you affordable life insurance for you & your family",Life Insurance,Insurer
FWD,-,Life,i-FlexCover,"Adjust your life insurance coverage in Malaysia anytime, at no extra charge.",Life Insurance,Insurer
FWD,-,Medical,i-Med,"From only RM44.70/month, i-Med offers you affordable medical insurance in Malaysia.",Life Insurance,Insurer
FWD,-,Critical Illness,i-Protect & i-Protect Plus,"From only RM8.10/month, i-Protect & i-Protect Plus offers you affordable critical illness insurance in Malaysia.",Life Insurance,Insurer
FWD,BSN,TBD,BSN Home Assure,Term Reducing Assurance Protection Plan that covers your home loans.,Life Insurance,Insurer
FWD,BSN,TBD,BSN RTA,Term Reducing Assurance Protection Plan that covers your personal loans.,Life Insurance,Insurer
FWD,BSN,TBD,Qaseh,"4 simple plans to meet your needs, ranging from insurance coverage to savings, and other great benefits.",Life Insurance,"Insurer, Bank"
FWD,BSN,TBD,Qaseh Bakti Plus,A health insurance plan that eases your financial burden for worry-free recovery.,Life Insurance,"Insurer, Bank"
FWD,BSN,TBD,QasehLink Pintar Plus,Achieve your financial dreams while protecting your loved ones,Life Insurance,"Insurer, Bank"
Great Eastern,-,Life,GREAT Early VantageCare 2,"The early advantage in critical care

Key Benefits

Broad critical illness coverage
Death or TPD Benefit",Life Insurance,Insurer
Great Eastern,-,Life,GREAT Generation Care,"The first-ever 3-generation critical illness plan

Key Benefits

Comprehensive coverage against critical illnesses
Child Protect Benefit for your children
Optional Parent Protect Rider to safeguard your parents’ golden years",Life Insurance,Insurer
Great Eastern,-,Life,GREAT MaxiProtector,"Enjoy long-term protection that's easy on premium

Key Benefits

Affordable protection for life
Financial security for your family
Be protected against TPD",Life Insurance,Insurer
Great Eastern,-,Life,GREAT Term Direct,"Affordable term life protection made easy

Key Benefits

Affordable premiums till 80 years
Financial cushion during bereavement
Death Benefit",Life Insurance,Insurer
Great Eastern,-,Life,GREAT VantageCare 2,"The protection advantage in critical care

Key Benefits

Critical Illness coverage
Death or TPD benefit",Life Insurance,Insurer
Great Eastern,-,Life,SMARTPROTECT Junior,"Chart a secure future for your child

Key Benefits

Protection with investment allocation
Additional 1% sum assured each year
Protection against death or TPD",Life Insurance,Insurer
Great Eastern,-,Life,SMARTPROTECT Sure,"Wealth protection to safeguard your future

Key Benefits

High protection against life's unexpected events
Extra safety net of 1% additional sum assured each year
Guaranteed insurance charge rates",Life Insurance,Insurer
Great Eastern,-,Life,SMARTPROTECT Wealth Max,"Financial assurance with optimal protection

Key Benefits

Various coverage term options with flexible premium payment terms
Multiple booster rewards to celebrate policy milestones
Double maturity booster to enhance your savings",Life Insurance,Insurer
Great Eastern,-,Life,SMARTPROTECT Wealth Plus,"Embrace your future confidently with strong wealth protection

Key Benefits

Long-term protection up to 100 years next birthday
Extra safety net of additional 1% sum assured each year
High protection against death or TPD",Life Insurance,Insurer
Great Eastern,-,Life,SMARTPROTECT You,"Comprehensive protection that’s always got your back

Key Benefits

Protection starting from just RM100 a month
Two coverage term options to suit your life goals
Additional 1% sum assured each year",Life Insurance,Insurer
Great Eastern,-,H&P,GREAT Critical Care Direct,"Facing life’s uncertainties with confidence

Key Benefits

Extensive critical illness coverage
Financial cushion during bereavement
Affordable premiums till age 80",Life Insurance,Insurer
Great Eastern,-,H&P,GREAT Critical Care Relief,"Reach for Great protection with the essential critical care plan

Key Benefits

Coverage for 5 prevalent critical illnesses
Coverage for hospital admission events
Return of total premiums paid or more at maturity",Life Insurance,Insurer
Great Eastern,-,H&P,GREAT Health Direct,"A medical plan to protect you against life’s uncertainties

Key Benefits

Essential medical benefits
Affordable premiums till age 80
Easy application",Life Insurance,Insurer
Great Eastern,-,H&P,GREAT Medic Shield 2 + GREAT Medic Million Extender 2,"Comprehensive medical benefits that you can count on

Key Benefits

High overall annual limit, no overall lifetime limit
Comprehensive medical benefits with minimal deductible per any one disability
Post-hospitalisation support for your recovery",Life Insurance,Insurer
Great Eastern,-,H&P,GREAT Multi Cancer Care,"Comprehensive care at every stage of the cancer journey

Key Benefits

Comprehensive coverage against cancer
Additional benefits to aid your recovery
Maturity Benefit",Life Insurance,Insurer
Great Eastern,-,H&P,SMART Baby Shield Plus,"Reach for Great protection for your little bundle of joy

Key Benefits

Greater assurance during pregnancy
Critical care for your newborn
Extended protection for congenital conditions",Life Insurance,Insurer
Great Eastern,-,H&P,SMART Critical Relief ,"Free yourself from financial worry upon hospitalisation

Key Benefits

Coverage on hospital and Intensive Care Unit (ICU) admission up to 210% of sum assured
Up to two claims for category 1 admission event
Coverage for hospital and ICU admission of any unknown diseases that may emerge in the future",Life Insurance,Insurer
Great Eastern,-,H&P,SMART Early Payout CriticalCare,"The first plan in Malaysia that pays at the early stages of critical illness

Key Benefits

Early payout, finances saved
Multiple claims across illnesses",Life Insurance,Insurer
Great Eastern,-,H&P,SMARTMedic Shield + SMARTMedic Shield Plus,"Extensive medical coverage for your healthcare needs

Key Benefits

Comprehensive medical benefits with minimal deductible per disability
Post-hospitalisation support for your full recovery
High Overall Annual Limit, no Overall Lifetime Limit",Life Insurance,Insurer
Great Eastern,-,H&P,SMART Multi Critical Care,"The life-protecting critical illness solution against 188 conditions

Key Benefits

Critical illness coverage up to 800% the rider sum assured
Double protection against cancer, heart attack and stroke
Additional special benefit of up to 60% the rider sum assured",Life Insurance,Insurer
Great Eastern,-,Savings/Investment,GREAT Flexi Plus,"Grow your savings towards a better future

Key Benefits

Limited premium payment term
Yearly Guaranteed Cash Payment (GCP)
Maturity benefit at the end of your policy term",Life Insurance,Insurer
Great Eastern,-,Savings/Investment,GREAT Flexi Wealth,"A solution that takes your savings further

Key Benefits

Short financial commitment, limited premium payment terms
Hassle-free enrolment with no medical underwriting
Yearly Guaranteed Cash Payment (GCP)",Life Insurance,Insurer
Great Eastern,-,Savings/Investment,GREAT Wealth Enhancer,"Investment booster and maturity benefit to aid you in your wealth accumulation dreams

Key Benefits

Short financial commitment with choices of 15 or 20 years of coverage
High payouts from the investment booster feature and maturity benefit
Hassle free enrolment with no medical underwriting",Life Insurance,Insurer
Great Eastern,-,Savings/Investment,SMARTINVEST Growth,"Enhance your financial safety net with investment opportunities

Key Benefits

Enhance your protection
Helps your money go further
Top up anytime to tap opportunities",Life Insurance,Insurer
Great Eastern,-,Savings/Investment,SMARTINVEST Premier,"Investments geared towards realising your dreams

Key Benefits

High premium allocation of 95%
Loyalty Incentive that provides additional premium allocation
Hassle-free enrolment with no medical underwriting",Life Insurance,Insurer
Great Eastern,-,H&P,GreatShield Active,"The essential coverage for the lifestyle you care about

Key Benefits

Complete Active Lifestyle protection up to age 100
Easy Enrolment from age 30 days up to 70 years old
Double & Triple Indemnity on Public Conveyance or at Public Sports Event",Life Insurance,Insurer
Great Eastern,-,H&P,Platinum PA,"Enjoy a superior personal accident plan that has high coverage with Platinum PA

Key Benefits

Minimum sum
Personal liability
Nursing care",Life Insurance,Insurer
Great Eastern,-,H&P,Lady Protector,"Enjoy special female-related benefits with Lady Protector

Key Benefits

Snatch theft: compensation to RM2,000
Cosmetic surgery reimbursement
Sexual harassment reimbursement to RM5,000",Life Insurance,Insurer
Great Eastern,-,H&P,MOS Shield,"MOS Shield safeguards you by providing the protection coverage you need against Dengue Fever, Malaria or Zika Virus

Key Benefits

Cover for death due to mosquito bite
Convenient as an Add-on to your Personal Accident Policy",Life Insurance,Insurer
Great Eastern,-,H&P,Easi Shield,"Protection catered to your needs, 365 days, around the clock

Key Benefits

Terrorism Extension for Accidental Death or Total Permanent Disablement
Renewal Bonus up to 80%
Hijacking Inconvenience",Life Insurance,Insurer
Great Eastern,-,H&P,Easi-Protector,"Enjoy innovative and coverage with Easi-Protector, wherever you may be

Key Benefits

Weekly benefits
Double indemnity
Personal liability to third parties",Life Insurance,Insurer
Great Eastern,-,H&P,Junior Protector,"Junior Protector protects your children from head to toe

Key Benefits

Medical expenses
Academic achievement award
Reimbursement of examination",Life Insurance,Insurer
Great Eastern,-,H&P,Classic PA,"Protects you against unfortunate and unforeseen events with the Classic PA plan

Key Benefits

Medical expenses
Government hospital allowance
Purchase of prostheses",Life Insurance,Insurer
Great Eastern,-,H&P,Great Shield Special,"The essential coverage for people engaged in high risk occupations

Key Benefits

Accidental death
Permanent disablement
Medical expenses reimbursement",Life Insurance,Insurer
Great Eastern,-,Travel,Travel For More,"Get wider and deeper travel coverage for you and your family with Travel For More

Key Benefits

With COVID-19 Benefits Extension
Emergency medical evacuation and repatriation
Loss of travel documents and personal money
Home contents benefit",Life Insurance,Insurer
Great Eastern,-,Travel,Great Voyager,"Travel smart with thorough protection

Key Benefits

With COVID-19 Benefits Extension
Accidental Death and Permanent Disablement
Wide Range of Medical Benefits
More Cover for Travel Inconveniences",Life Insurance,Insurer
Great Eastern,-,Motor,Motor Insurance,"We cover all classes of vehicles and offers one of the widest range of benefits.

Key Benefits

Third party bodily injury and death
Third party property loss or damage
Loss or damage to your own vehicle",Life Insurance,Insurer
Great Eastern,-,Home,Great Shield Home,"Shelters your home and its content from unexpected events.

Key Benefits

Mortgage protection for uninhabitable house
Thirty (30) days’ purchase protection
Machinery breakdown",Life Insurance,Insurer
Great Eastern,-,Home,Easi-Home,"Safeguard your home with Easi-Home, and have a peace of mind.

Key Benefits

Cover against accidental fire, water damage, natural disaster etc.
Theft
Repairs to damaged property",Life Insurance,Insurer
Great Eastern,-,Home,Houseowner / Household Insurance,"Protects your house and its content with our Houseowner/Household Insurance Policy.

Key Benefits

Cover against loss from fire, lightning or explosions
Claim if your building is hit by a vehicle
Cover against water damage",Life Insurance,Insurer
Great Eastern,-,Medical,EasiMed Major,"A major medical insurance for you and your loved ones

Key Benefits

Renewal up to age 100 years and no Lifetime Limit
Renewal Bonus up to 50%
Loyalty discount at 15% and family discount at 10% on gross premium payable",Life Insurance,Insurer
Great Eastern,-,Medical,Easi HealthCare,"Easi HealthCare insurance tailored to your medical needs

Key Benefits

High overall annual and lifetime limits
No co-insurance if you do not stay in Room and Board higher than your eligible benefit
Invitation to annually renew until 85 years old",Life Insurance,Insurer
Great Eastern,-,Medical,EasiMed Active,"Medical insurance for you and your family’s active lifestyles

Key Benefits

Unlimited Overall Lifetime Limit
Get rewarded by staying healthy with No Claim Renewal Bonus
Offers optional benefits which suits your active lifestyle",Life Insurance,Insurer
Great Eastern,-,Misc.,Easi-Golf,"Easi-Golf covers against a wayward golf ball causing damage or injuries

Key Benefits

Public liability
Personal accident
Hole-in-One expenses",Life Insurance,Insurer
Great Eastern,-,Misc.,Food Stall Insurance,"Food Stall Insurance protects you, your food business and your employees

Key Benefits

Employer's liability
Theft, armed robbery or hold-up
Personal accident cover for employees",Life Insurance,Insurer
Great Eastern,-,Life,i-Great Nova,"i-Great Nova is a growing coverage to ensure a bright future that spans you and beyond.

Key Benefits

Affordable High Coverage Plan from RM 250,000 Sum Covered
Protect Your Legacy with Coverage Term up to Age 80
Optional Automatic Increase of Sum Covered Every 5 Years",Family Takaful,Insurer
Great Eastern,-,Life,i-Great Inspirasi,"A Takaful plan that inspires Malaysians to get protected

Key Benefits

Infectious Disease and Critical Illness Coverage
No Medical Underwriting
Coverage of up to 4x Sum Covered",Family Takaful,Insurer
Great Eastern,-,Life,i-Great Evo,"An evolutionary protection plan for your evolving needs.

Key Benefits

Monthly contribution from RM50 a month
Increasing Room & Board and Annual Limit every 5 years with medical rider
61 major critical illness protection from child to adult in one optional rider",Family Takaful,Insurer
Great Eastern,-,TBD(Health/Medical/CI),i-Great MediHarapan,"A medical protection plan with you and your family in mind

Key Benefits

Unlimited Overall Lifetime Limit
Coverage up to age 100 years
5% family discount",Family Takaful,Insurer
Great Eastern,-,TBD(Health/Medical/CI),i-Great Yaqeen ,"Coverage towards financial confidence 

Key Benefits

61 Critical Illness Coverage for Child and Adult
Essential Care Benefit (supplementary hospitalisation care)
Maturity Benefit",Family Takaful,Insurer
Great Eastern,-,TBD(Health/Medical/CI),i-Medi Shield Rider,"Medical coverage to cater for life's changing needs 

Key Benefits

Deductible options to fit affordability
Increasing hospital Room and Board every 5 years and Overall Annual Limit every 2 years
Extension of coverage beyond overall medical limit with co-Takaful",Family Takaful,Insurer
Great Eastern,-,TBD(Health/Medical/CI),i-Lifetime & i-Early Lifetime Critical Illness Benefit Term Rider,"A plan that protects your critical needs for a lifetime

Key Benefits

61 critical illness coverage for child and adult in one plan
Multiple claims payout in the event of critical illness
e-Medical Card",Family Takaful,Insurer
Great Eastern,-,TBD(Health/Medical/CI),i-Additional Lifetime & Lifetime Critical Illness Term Rider,"A plan that protects your critical needs for a lifetime

Key Benefits

61 critical illness coverage from child to adult in one plan
Coverage of up to 5x Basic Sum Covered
2 Options of Claims Payout",Family Takaful,Insurer
Great Eastern,-,Savings/Investment,i-Great Prestij,"A Takaful saving plan to protect what really matters to you and at the same time helps you achieve all your life aspirations.

Key Benefits

Annual Investment Booster up to 20% of Contribution
Maturity Booster up to 500% of Annual Contribution
No medical underwriting",Family Takaful,Insurer
Great Eastern,-,TBD (Online),MikroSayang,"A comprehensive basic protection plan under Perlindungan Tenang.

Key Benefits

Guaranteed acceptance
Accidental Death Benefit of RM5,000
Hospitalisation Benefit of RM50 a day
Critical Illness Benefit of RM5,000",Family Takaful,Insurer
Great Eastern,-,TBD (Online),i-Great Murni 2.0,"Getting coverage is as easy as it gets. Realise your good intentions with this plan.

Key Benefits

Simplified underwriting
Basic Sum Coverage of up to RM500,000
Bereavement allowance",Family Takaful,Insurer
Great Eastern,-,TBD (Online),i-Great Medi Care,"A plan that safeguard you against unforeseen medical emergency.

Key Benefits

Medical coverage up to age 80 years
No medical examination
Zero Co-Takaful",Family Takaful,Insurer
Great Eastern,-,TBD (Online),i-Great Critical Care,"Get the required treatment without any financial worries.

Key Benefits

Basic Sum Covered of up to RM500,000
No medical examination
Coverage for 50 Critical Illnesses",Family Takaful,Insurer
Generali,-,H&P,Medic Essential Rider,"A medical plan that supports you and your family during these trying times
There may come a time where you are challenged by uncertainties over health and financial issues. Thus, it is always essential to have extra protection to safeguard yourself and your loved ones. In view of all the unpredictable events, we are here to provide you with a medical plan that is packed with essential health protection benefits at an affordable premium.

‍

Medic Essential Rider is a medical plan to support you and your family during these trying times. Besides the medical coverage of in-patient and out-patient treatments, this plan also comes with death coverage and financial support upon medical quarantine for you and your family. It gives you coverage up to age 81 with NO LIFETIME LIMIT to fulfil your and your family’s medical protection needs.

‍

Medic Essential Rider is a medical plan that you and your family must have for your peace of mind.

‍",TBD,Insurer
